"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"06/01/2025";"1800";"";"";"";"61,0";"65,0";"60,0";"";"";"";"1009,7";"1010,3";"1009,7";"4,5";"87,0";"8,7";"2105,90";"0,0"
"06/01/2025";"1900";"";"";"";"65,0";"67,0";"61,0";"";"";"";"1009,6";"1009,8";"1009,6";"3,8";"84,0";"8,2";"1295,50";"0,0"
"06/01/2025";"2000";"";"";"";"69,0";"69,0";"64,0";"";"";"";"1009,7";"1009,7";"1009,5";"3,6";"85,0";"7,8";"791,00";"0,0"
"06/01/2025";"2100";"";"";"";"70,0";"72,0";"69,0";"";"";"";"1009,9";"1009,9";"1009,6";"4,0";"86,0";"7,9";"85,70";"0,0"
"06/01/2025";"2200";"";"";"";"70,0";"71,0";"69,0";"";"";"";"1010,7";"1010,7";"1009,8";"3,8";"76,0";"7,4";"";"0,0"
"06/01/2025";"2300";"";"";"";"71,0";"71,0";"70,0";"";"";"";"1011,5";"1011,5";"1010,6";"3,7";"88,0";"8,0";"";"0,0"
"07/01/2025";"0000";"";"";"";"70,0";"72,0";"70,0";"";"";"";"1011,8";"1011,9";"1011,4";"3,4";"84,0";"7,2";"";"0,0"
"07/01/2025";"0100";"";"";"";"70,0";"71,0";"70,0";"";"";"";"1012,2";"1012,3";"1011,7";"3,3";"79,0";"6,9";"";"0,0"
"07/01/2025";"0200";"";"";"";"70,0";"71,0";"69,0";"";"";"";"1012,1";"1012,4";"1012,1";"3,2";"80,0";"7,1";"";"0,0"
"07/01/2025";"0300";"";"";"";"71,0";"71,0";"70,0";"";"";"";"1011,8";"1012,1";"1011,8";"3,2";"73,0";"7,5";"";"0,0"
"07/01/2025";"0400";"";"";"";"73,0";"73,0";"69,0";"";"";"";"1011,2";"1011,9";"1011,2";"3,1";"80,0";"7,5";"";"0,0"
"07/01/2025";"0500";"";"";"";"71,0";"73,0";"71,0";"";"";"";"1010,7";"1011,2";"1010,7";"3,3";"66,0";"6,6";"";"0,0"
"07/01/2025";"0600";"";"";"";"72,0";"72,0";"71,0";"";"";"";"1010,2";"1010,7";"1010,2";"3,3";"70,0";"7,0";"";"0,0"
"07/01/2025";"0700";"";"";"";"73,0";"74,0";"72,0";"";"";"";"1010,4";"1010,5";"1010,2";"3,5";"67,0";"7,2";"";"0,0"
"07/01/2025";"0800";"";"";"";"73,0";"74,0";"72,0";"";"";"";"1011,3";"1011,3";"1010,4";"2,7";"71,0";"7,2";"";"0,0"
"07/01/2025";"0900";"";"";"";"72,0";"73,0";"71,0";"";"";"";"1011,7";"1011,8";"1011,3";"3,0";"72,0";"6,7";"52,30";"0,0"
"07/01/2025";"1000";"";"";"";"67,0";"72,0";"67,0";"";"";"";"1012,1";"1012,1";"1011,7";"3,8";"77,0";"6,7";"525,60";"0,0"
"07/01/2025";"1100";"";"";"";"65,0";"68,0";"64,0";"";"";"";"1012,5";"1012,6";"1012,1";"3,4";"59,0";"6,4";"983,70";"0,0"
"07/01/2025";"1200";"";"";"";"60,0";"66,0";"58,0";"";"";"";"1012,6";"1012,7";"1012,5";"3,6";"79,0";"6,7";"1777,40";"0,0"
"07/01/2025";"1300";"";"";"";"62,0";"64,0";"59,0";"";"";"";"1012,3";"1012,6";"1012,3";"3,9";"82,0";"6,6";"2443,70";"0,0"
